Line Number,Location path code,L1,L2,L3,L4,L5,Category,Utterance: Single word or phrase,Type of Sign,Training/ Spontaneous
1,A,A        Talk about,,,,,Navigation,Phrase,Abstract Sign,Trained - Repeated
2,AA,A        Talk about,AA   Back,,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
3,AB,A        Talk about,AB   Animals,,,,Navigation,Single Word,Drawing,Trained - Repeated
4,ABA,A        Talk about,AB   Animals,ABA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
5,ABB,A        Talk about,AB   Animals,ABB,,,,,,
6,ABC,A        Talk about,AB   Animals,ABC Underwater Animals,,,Navigation,Phrase,Drawing,Trained - Repeated
7,ABCA,A        Talk about,AB   Animals,ABC Underwater Animals,ABCA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
8,ABCB,A        Talk about,AB   Animals,ABC Underwater Animals,ABCB Fish,,Socio-Cognitive,Single Word,Drawing,Trained
9,ABCC,A        Talk about,AB   Animals,ABC Underwater Animals,ABCC ,,,,,
10,ABCD,A        Talk about,AB   Animals,ABC Underwater Animals,ABCD Turtle,,Socio-Cognitive,Single Word,Drawing,Trained
11,ABCE,A        Talk about,AB   Animals,ABC Underwater Animals,ABCE Octopus,,Socio-Cognitive,Single Word,Photo,Trained
12,ABCF,A        Talk about,AB   Animals,ABC Underwater Animals,ABCF Seahorse,,Socio-Cognitive,Single Word,Photo,Trained
13,ABCG,A        Talk about,AB   Animals,ABC Underwater Animals,ABCG Dolphin,,Socio-Cognitive,Single Word,Photo,Trained
14,ABCH,A        Talk about,AB   Animals,ABC Underwater Animals,ABCH Crab,,Socio-Cognitive,Single Word,Drawing,Trained
15,ABCI,A        Talk about,AB   Animals,ABC Underwater Animals,ABCI Book,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
16,ABCJ,A        Talk about,AB   Animals,ABC Underwater Animals,ABCJ Look at art,,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
17,ABCK,A        Talk about,AB   Animals,ABC Underwater Animals,ABCK Talk about,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
18,ABCL,A        Talk about,AB   Animals,ABC Underwater Animals,ABCL Game,,Socio-Cognitive,Single Word,Photo,Trained - Repeated
19,ABCM,A        Talk about,AB   Animals,ABC Underwater Animals,ABCM Past,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
20,ABCN,A        Talk about,AB   Animals,ABC Underwater Animals,ABCN Today,,Space-Temporal,Single Word,Drawing,Trained - Repeated
21,ABCO,A        Talk about,AB   Animals,ABC Underwater Animals,ABCO Future,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
22,ABCP,A        Talk about,AB   Animals,ABC Underwater Animals,ABCP Like,,Self/State,Single Word,Abstract Sign,Trained - Repeated
23,ABCQ,A        Talk about,AB   Animals,ABC Underwater Animals,ABCQ No like,,Self/State,Phrase,Abstract Sign,Trained - Repeated
24,ABCR,A        Talk about,AB   Animals,ABC Underwater Animals,ABCR Want,,Self/State,Single Word,Drawing,Trained - Repeated
25,ABD,A        Talk about,AB   Animals,ABD Baby Animals,,,Navigation,Phrase,Photo,Trained - Repeated
26,ABDA,A        Talk about,AB   Animals,ABD Baby Animals,ABDA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
27,ABDB,A        Talk about,AB   Animals,ABD Baby Animals,ABDB Chick,,Socio-Cognitive,Single Word,Photo,Trained
28,ABDC,A        Talk about,AB   Animals,ABD Baby Animals,ABDC Lamb,,Socio-Cognitive,Single Word,Photo,Trained
29,ABDD,A        Talk about,AB   Animals,ABD Baby Animals,ABDD,,,,,
30,ABDE,A        Talk about,AB   Animals,ABD Baby Animals,ABDE Bunny,,Socio-Cognitive,Single Word,Photo,Trained
31,ABDF,A        Talk about,AB   Animals,ABD Baby Animals,ABDF Duck,,Socio-Cognitive,Single Word,Photo,Trained
32,ABDG,A        Talk about,AB   Animals,ABD Baby Animals,ABDG Puppy,,Socio-Cognitive,Single Word,Photo,Trained
33,ABDH,A        Talk about,AB   Animals,ABD Baby Animals,ABDH Kitten,,Socio-Cognitive,Single Word,Photo,Trained
34,ABDI,A        Talk about,AB   Animals,ABD Baby Animals,ABDI Book,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
35,ABDJ,A        Talk about,AB   Animals,ABD Baby Animals,ABDJ Look at art,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
36,ABDK,A        Talk about,AB   Animals,ABD Baby Animals,ABDK Talk about,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
37,ABDL,A        Talk about,AB   Animals,ABD Baby Animals,ABDL Game,,Socio-Cognitive,Single Word,Photo,Trained - Repeated
38,ABDM,A        Talk about,AB   Animals,ABD Baby Animals,ABDM Past,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
39,ABDN,A        Talk about,AB   Animals,ABD Baby Animals,ABDN Today,,Space-Temporal,Single Word,Drawing,Trained - Repeated
40,ABDO,A        Talk about,AB   Animals,ABD Baby Animals,ABDO Future,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
41,ABDP,A        Talk about,AB   Animals,ABD Baby Animals,ABDP Like,,Self/State,Single Word,Abstract Sign,Trained - Repeated
42,ABDQ,A        Talk about,AB   Animals,ABD Baby Animals,ABDQ No like,,Self/State,Phrase,Abstract Sign,Trained - Repeated
43,ABDR,A        Talk about,AB   Animals,ABD Baby Animals,ABDR Want,,Self/State,Single Word,Drawing,Trained - Repeated
44,ABE,A        Talk about,AB   Animals,ABE Jungle Animals,,,Navigation,Phrase,Photo,Trained - Repeated
45,ABEA,A        Talk about,AB   Animals,ABE Jungle Animals,ABEA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
46,ABEB,A        Talk about,AB   Animals,ABE Jungle Animals,ABEB Lion,,Socio-Cognitive,Single Word,Photo,Trained
47,ABEC,A        Talk about,AB   Animals,ABE Jungle Animals,ABEC Giraffe,,Socio-Cognitive,Single Word,Photo,Trained
48,ABED,A        Talk about,AB   Animals,ABE Jungle Animals,ABED Elephant,,Socio-Cognitive,Single Word,Photo,Trained
49,ABEE,A        Talk about,AB   Animals,ABE Jungle Animals,ABEE,,,,,
50,ABEF,A        Talk about,AB   Animals,ABE Jungle Animals,ABEF Gorilla,,Socio-Cognitive,Single Word,Photo,Trained
51,ABEG,A        Talk about,AB   Animals,ABE Jungle Animals,ABEG Zebra,,Socio-Cognitive,Single Word,Photo,Trained
52,ABEH,A        Talk about,AB   Animals,ABE Jungle Animals,ABEH Monkey,,Socio-Cognitive,Single Word,Photo,Trained
53,ABEI,A        Talk about,AB   Animals,ABE Jungle Animals,ABEI Book,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
54,ABEJ,A        Talk about,AB   Animals,ABE Jungle Animals,ABEJ Look at art,,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
55,ABEK,A        Talk about,AB   Animals,ABE Jungle Animals,ABEK Talk about,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
56,ABEL,A        Talk about,AB   Animals,ABE Jungle Animals,ABEL Game,,Socio-Cognitive,Single Word,Photo,Trained - Repeated
57,ABEM,A        Talk about,AB   Animals,ABE Jungle Animals,ABEM Past,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
58,ABEN,A        Talk about,AB   Animals,ABE Jungle Animals,ABEN Today,,Space-Temporal,Single Word,Drawing,Trained - Repeated
59,ABEO,A        Talk about,AB   Animals,ABE Jungle Animals,ABEO Future,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
60,ABEP,A        Talk about,AB   Animals,ABE Jungle Animals,ABEP Like,,Self/State,Single Word,Abstract Sign,Trained - Repeated
61,ABEQ,A        Talk about,AB   Animals,ABE Jungle Animals,ABEQ No like,,Self/State,Phrase,Abstract Sign,Trained - Repeated
62,ABER,A        Talk about,AB   Animals,ABE Jungle Animals,ABER Want,,Self/State,Single Word,Drawing,Trained - Repeated
63,ABF,A        Talk about,AB   Animals,ABF Backyard Animals,,,Navigation,Phrase,Photo,Trained - Repeated
64,ABFA,A        Talk about,AB   Animals,ABF Backyard Animals,ABFA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
65,ABFB,A        Talk about,AB   Animals,ABF Backyard Animals,ABFB Squirrel,,Socio-Cognitive,Single Word,Photo,Trained - Repeated
66,ABFC,A        Talk about,AB   Animals,ABF Backyard Animals,ABFC Rabbit,,Socio-Cognitive,Single Word,Photo,Trained
67,ABFD,A        Talk about,AB   Animals,ABF Backyard Animals,ABFD Iguana,,Socio-Cognitive,Single Word,Photo,Trained
68,ABFE,A        Talk about,AB   Animals,ABF Backyard Animals,ABFE Bird,,Socio-Cognitive,Single Word,Photo,Trained
69,ABFF,A        Talk about,AB   Animals,ABF Backyard Animals,ABFF,,,,,
70,ABFG,A        Talk about,AB   Animals,ABF Backyard Animals,ABFG Deer,,Socio-Cognitive,Single Word,Photo,Trained
71,ABFH,A        Talk about,AB   Animals,ABF Backyard Animals,ABFH Raccoon,,Socio-Cognitive,Single Word,Photo,Trained
72,ABFI,A        Talk about,AB   Animals,ABF Backyard Animals,ABFI Book,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
73,ABFJ,A        Talk about,AB   Animals,ABF Backyard Animals,ABFJ Look at art,,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
74,ABFK,A        Talk about,AB   Animals,ABF Backyard Animals,ABFK Talk about,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
75,ABFL,A        Talk about,AB   Animals,ABF Backyard Animals,ABFL Game,,Socio-Cognitive,Single Word,Photo,Trained - Repeated
76,ABFM,A        Talk about,AB   Animals,ABF Backyard Animals,ABFM Past,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
77,ABFN,A        Talk about,AB   Animals,ABF Backyard Animals,ABFN Today,,Space-Temporal,Single Word,Drawing,Trained - Repeated
78,ABFO,A        Talk about,AB   Animals,ABF Backyard Animals,ABFO Future,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
79,ABFP,A        Talk about,AB   Animals,ABF Backyard Animals,ABFP Like,,Self/State,Single Word,Abstract Sign,Trained - Repeated
80,ABFQ,A        Talk about,AB   Animals,ABF Backyard Animals,ABFQ No like,,Self/State,Phrase,Abstract Sign,Trained - Repeated
81,ABFR,A        Talk about,AB   Animals,ABF Backyard Animals,ABFR Want,,Self/State,Single Word,Drawing,Trained - Repeated
82,ABG,A        Talk about,AB   Animals,ABG Bugs,,,Navigation,Single Word,Photo,Trained - Repeated
83,ABGA,A        Talk about,AB   Animals,ABG Bugs,ABGA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
84,ABGB,A        Talk about,AB   Animals,ABG Bugs,ABGB Yuck bug,,Socio-Cognitive,Phrase,Photo,Trained
85,ABGC,A        Talk about,AB   Animals,ABG Bugs,ABGC Ant,,Socio-Cognitive,Single Word,Photo,Trained
86,ABGD,A        Talk about,AB   Animals,ABG Bugs,ABGD Butterfly,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
87,ABGE,A        Talk about,AB   Animals,ABG Bugs,ABGE High up,,Space-Temporal,Phrase,Drawing,Untrained - Discovered
88,ABGF,A        Talk about,AB   Animals,ABG Bugs,ABGF Down low,,Space-Temporal,Phrase,Drawing,Untrained - Discovered
89,ABGG,A        Talk about,AB   Animals,ABG Bugs,ABGG,,,,,
90,ABGH,A        Talk about,AB   Animals,ABG Bugs,ABGH Fix,,Qualifiers,Single Word,Drawing,Untrained - Discovered
91,ABGI,A        Talk about,AB   Animals,ABG Bugs,ABGI Broken,,Qualifiers,Single Word,Drawing,Untrained - Discovered
92,ABGJ,A        Talk about,AB   Animals,ABG Bugs,ABGJ Dark,,Qualifiers,Single Word,Photo,Untrained - Discovered
93,ABGK,A        Talk about,AB   Animals,ABG Bugs,ABGK Light,,Qualifiers,Single Word,Photo,Untrained - Discovered
94,ABGL,A        Talk about,AB   Animals,ABG Bugs,ABGL Mom,,Family & Friends,Single Word,Photo,Trained - Repeated
95,ABGM,A        Talk about,AB   Animals,ABG Bugs,ABGM Ellie,,Family & Friends,Single Word,Photo,Trained - Repeated
96,ABGN,A        Talk about,AB   Animals,ABG Bugs,ABGN Isabelle,,Family & Friends,Single Word,Photo,Trained - Repeated
97,ABGO,A        Talk about,AB   Animals,ABG Bugs,ABGO Tillie,,Family & Friends,Single Word,Photo,Trained - Repeated
98,ABGP,A        Talk about,AB   Animals,ABG Bugs,ABGP Like,,Self/State,Single Word,Abstract Sign,Trained - Repeated
99,ABGQ,A        Talk about,AB   Animals,ABG Bugs,ABGQ No like,,Self/State,Phrase,Abstract Sign,Trained - Repeated
100,ABGR,A        Talk about,AB   Animals,ABG Bugs,ABGR Afraid,,Self/State,Single Word,Drawing,Trained - Repeated
101,AC,A        Talk about,AC   Fantasy,,,,Navigation,Single Word,Drawing,Trained - Repeated
102,ACA,A        Talk about,AC   Fantasy,ACA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
103,ACB,A        Talk about,AC   Fantasy,ACB Dragon,,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
104,ACC,A        Talk about,AC   Fantasy,ACC,,,,,,
105,ACD,A        Talk about,AC   Fantasy,ACD Unicorn,,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
106,ACE,A        Talk about,AC   Fantasy,ACE Fairy,,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
107,ACF,A        Talk about,AC   Fantasy,ACF Mermaid,,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
108,ACG,A        Talk about,AC   Fantasy,ACG Elf,,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
109,ACH,A        Talk about,AC   Fantasy,ACH Gnome,,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
110,ACI,A        Talk about,AC   Fantasy,ACI Book,,,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
111,ACJ,A        Talk about,AC   Fantasy,ACJ Look at Art,,,Socio-Cognitive,Phrase,Drawing,Trained - Repeated
112,ACK,A        Talk about,AC   Fantasy,ACK Talk about,,,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
113,ACL,A        Talk about,AC   Fantasy,ACL Game,,,Socio-Cognitive,Single Word,Photo,Trained - Repeated
114,ACM,A        Talk about,AC   Fantasy,ACM Past,,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
115,ACN,A        Talk about,AC   Fantasy,ACN Today,,,Space-Temporal,Single Word,Drawing,Trained - Repeated
116,ACO,A        Talk about,AC   Fantasy,ACO Future,,,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
117,ACP,A        Talk about,AC   Fantasy,ACP Like,,,Self/State,Single Word,Abstract Sign,Trained - Repeated
118,ACQ,A        Talk about,AC   Fantasy,ACQ No like,,,Self/State,Phrase,Abstract Sign,Trained - Repeated
119,ACR,A        Talk about,AC   Fantasy,ACR Want,,,Self/State,Single Word,Drawing,Trained - Repeated
120,AD,A        Talk about,AD   Seasonal,,,,Navigation,Single Word,Photo,Trained - Repeated
121,ADA,A        Talk about,AD   Seasonal,ADA Back,,,Navigation,Single Word,Abstract Sign,Trained - Repeated
122,ADB,A        Talk about,AD   Seasonal,ADB Seasonal,,,Navigation,Single Word,Photo,Trained - Repeated
123,ADBA,A        Talk about,AD   Seasonal,ADB Seasonal,ADBA Back,,Navigation,Single Word,Abstract Sign,Trained - Repeated
124,ADBB,A        Talk about,AD   Seasonal,ADB Seasonal,ADBB ,,,,,
125,ADBC,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,,Navigation,Single Word,Photo,Trained - Repeated
126,ADBCA,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCA Back,Navigation,Single Word,Abstract Sign,Trained - Repeated
127,ADBCB,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCB Flowers,Socio-Cognitive,Single Word,Drawing,Trained
128,ADBCC,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCC,,,,
129,ADBCD,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCD Sprouts,Socio-Cognitive,Single Word,Drawing,Trained
130,ADBCE,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCE Dirt,Socio-Cognitive,Single Word,Drawing,Trained
131,ADBCF,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCF Grass,Socio-Cognitive,Single Word,Drawing,Trained
132,ADBCG,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCG Outside Walk,Socio-Cognitive,Phrase,Abstract Sign,Trained - Repeated
133,ADBCH,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCH Baby animals,Socio-Cognitive,Phrase,Photo,Trained - Repeated
134,ADBCI,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCI Butterfly,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
135,ADBCJ,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCJ Spring Cartoons,Resources,Phrase,Photo,Generalized
136,ADBCK,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCK Spring Music,Resources,Phrase,Drawing,Generalized
137,ADBCL,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCL Craft,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
138,ADBCM,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCM Book,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
139,ADBCN,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCN Game,Socio-Cognitive,Single Word,Photo,Trained - Repeated
140,ADBCO,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCO Card Game,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
141,ADBCP,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCP Past,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
142,ADBCQ,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCQ Today,Space-Temporal,Single Word,Drawing,Trained - Repeated
143,ADBCR,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCR Future,Space-Temporal,Single Word,Abstract Sign,Trained - Repeated
144,ADBCS,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCS Like,Self/State,Single Word,Abstract Sign,Trained - Repeated
145,ADBCT,A        Talk about,AD   Seasonal,ADB Seasonal,ADBC Spring,ADBCT No like,Self/State,Phrase,Abstract Sign,Trained - Repeated
146,ADBD,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,,Navigation,Single Word,Photo,Trained - Repeated
147,ADBDA,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDA Back,Navigation,Single Word,Abstract Sign,Trained - Repeated
148,ADBDB,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDB Outside Shower,Space-Temporal,Phrase,Abstract Sign,Trained - Repeated
149,ADBDC,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDC Sun,Space-Temporal,Single Word,Photo,Trained - Repeated
150,ADBDD,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDD ,,,,
151,ADBDE,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDE Rain,Space-Temporal,Single Word,Photo,Trained - Repeated
152,ADBDF,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDF Thunder,Space-Temporal,Single Word,Photo,Trained - Repeated
153,ADBDG,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDG Fireworks,Space-Temporal,Single Word,Photo,Trained
154,ADBDH,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDH Golf Cart Ride,Space-Temporal,Phrase,Photo,Trained - Repeated
155,ADBDI,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDI Hot Outside,Space-Temporal,Phrase,Photo,Trained - Repeated
156,ADBDJ,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDJ Cool Outside,Space-Temporal,Phrase,Photo,Trained - Repeated
157,ADBDK,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDK Banana Straw,Resources,Phrase,Photo,Untrained - Unused
158,ADBDL,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDL Sensory Bowl,Resources,Phrase,Photo,Untrained - Unused
159,ADBDM,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDM Summer Cartoon,Resources,Phrase,Photo,Generalized
160,ADBDN,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDN Summer Music,Resources,Phrase,Drawing,Generalized
161,ADBDO,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDO Craft,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
162,ADBDP,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDP Book,Socio-Cognitive,Single Word,Drawing,Trained - Repeated
163,ADBDQ,A        Talk about,AD   Seasonal,ADB Seasonal,ADBD Summer,ADBDQ Game,Socio-Cognitive,Single Word,Photo,Trained - Repeated
